Ceres Product Code,Order (UNITS),Order (CASES),Product Description,Unit Size,Quantity,Unit Trade Price,Case Trade Price
,,,,,,,
GROCERY,,,,,,,
,,,,,,,
,,,BEVERAGE - RICE MILK,,,,
,,,Growing Naturals,,,,
11855,,,Rice Milk Powder Creamy Vanilla,432g,6 Outer,$17.07,$102.42
,,,Imagine,,,,
12440,,,Rice & Quinoa Drink Enriched,946ml,Ctn 6,$4.32,$25.92
10554,,,Rice Dream Chocolate Enriched,946ml,Ctn 12,$3.77,$45.23
12189,,,Rice Dream Enriched Vanilla,240ml,Ctn 4,$1.89,$7.56
10030,,,Rice Dream Original Enriched,946ml,Ctn 12,$3.77,$45.23
12190,,,Rice Dream Original Enriched,240ml,Ctn 4,$1.89,$7.56
10031,,,Rice Dream Vanilla Enriched,946ml,Ctn 12,$3.77,$45.23
12442,,,Sprouted Rice Dream Unsweetened,946ml,Ctn 6,$4.32,$25.92
,,,Komplete,,,,
12097,,,Cocoa Fudge Meal Replacement Shake,330ml,Ctn 12,$4.58,$54.96
12218,,,Java Latte Coffee Meal Replacement Shake,330ml,Ctn 12,$4.58,$54.96
12096,,,Vanilla Bliss Meal Replacement Shake,330ml,Ctn 12,$4.58,$54.96
,,,Pureharvest,,,,
12201,,,Aussie Dream Original Blue,1lt,Ctn 12,$3.34,$40.08
10041,,,Aussie Dream Original with Calcium Green,1lt,Ctn 12,$3.34,$40.08
,,,BEVERAGE - SOY MILK,,,,
,,,Imagine,,,,
12191,,,Soy Dream Original Enriched,240ml,Ctn 4,$1.89,$7.56
10046,,,Soy Dream Original Enriched,946ml,Ctn 12,$4.54,$54.43
10601,,,Soy Dream Vanilla Enriched,946ml,Ctn 12,$4.54,$54.43
,,,Pacific,,,,
11944,,,Soy Milk (Unsweetened - Tetra),946ml,Ctn 12,$4.61,$55.32
,,,Pureharvest,,,,
10050,,,Natures Soy (Calcium & Iron Enriched),1lt,Ctn 12,$3.34,$40.08
10986,,,Natures Soy (Light),1lt,Ctn 12,$3.34,$40.08
10985,,,Natures Soy (Malt Free),1lt,Ctn 12,$3.34,$40.08
10051,,,Natures Soy (Original),1lt,Ctn 12,$3.34,$40.08
,,,BEVERAGE - OTHER MILKS,,,,
,,,Imagine,,,,
12072,,,Coconut Dream Enriched (Unsweetened),946ml,Ctn 12,$4.56,$54.68
11834,,,Coconut Dream Original Enriched,946ml,Ctn 12,$4.56,$54.68
12441,,,"Coconut, Almond & Chia Drink",946ml,Ctn 6,$4.32,$25.92
,,,Pacific,,,,
11874,,,7 Grain Beverage (tetra),946ml,12 Outer,$4.61,$55.32
10052,,,Almond Non Dairy Beverage (Original - tetra),946ml,Ctn 12,$4.61,$55.32
11374,,,Almond Non Dairy Beverage (Unsweetened - tetra),946ml,Ctn 12,$4.61,$55.32
11942,,,Almond Vanilla Beverage (Unsweetened - tetra),946ml,Ctn 12,$4.61,$55.32
12444,,,Coconut Non Dairy Beverage (Original Unsweetened),946ml,Ctn 12,$4.61,$55.32
12443,,,Coconut Non Dairy Beverage (Original),946ml,Ctn 12,$4.61,$55.32
12445,,,Coconut Non Dairy Beverage (Vanilla Unsweetened),946ml,Ctn 12,$4.61,$55.32
11943,,,Hazelnut Chocolate Beverage (tetra),946ml,Ctn 12,$4.61,$55.32
11145,,,Hazelnut Non Dairy Beverage (tetra),946ml,Ctn 12,$4.61,$55.32
,,,Pureharvest,,,,
10053,,,Oat Milk,1lt,Ctn 12,$3.34,$40.08
,,,BEVERAGE - JUICE,,,,
,,,Biodynamic Marketing,,,,
10213,,,Pear Juice,1lt,6 Outer,$7.24,$43.44
,,,Bragg,,,,
11940,,,Apple Cider Vinegar Drink with Apple Cinnamon (glass),473ml,12 Outer,$3.74,$44.88
11941,,,Apple Cider Vinegar Drink with Concord Grape Acai (glass),473ml,12 Outer,$3.74,$44.88
11939,,,Apple Cider Vinegar Drink with Ginger Spice (glass),473ml,12 Outer,$3.74,$44.88
,,,Lakewood Juices,,,,
12053,,,Acai Amazon Berry Juice,946ml,12 Outer,$10.98,$131.76
