,,,Chantal Organic Wholesalers 2013 Ltd,,,,,,,,,,,,,Catalogue,
,,,,,,,,,,,,,,,,,
,,,93 Austin Street,,,,,,,,,,,,,,
,,,Onekawa,,,,,,,,,,,,,,
,,,Napier 4110,,,,,,,,,,,,,,
,,,Phone: 06 843 2114,,,,,,,,,,,,,,
,,,Facsimile: 06 843 9151,,,,,,,,,,,,,,
,,,Email: orders@chantal.co.nz,,,,,,,,,,,,,,
,,, GST: 105-741-243,,,,,,,,,,Prices subject to change without notice,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
CODE,,DESCRIPTION,,,,,MEASURE,,ORIGIN,,CERTIFICATION,,OUTER,OUTER $,,UNIT $,PRICE
,,,,,,,,,,,,,,,,,UPDATE
Retail Uncertified,,,,,,,,,,,,,,,,,
Beverage RTD,,,,,,,,,,,,,,,,,
170AF1,,Chantal Apple and Feijoa Juice 1L,,,,,,EA,New Zealand,,Natural,,9.00,,$4.35,$5.00,
170AF2,,Chantal Apple and Feijoa Juice 2L,,,,,,EA,New Zealand,,Natural,,6.00,,$5.35,$6.15,
LUNCH WRAPS,,,,,,,,,,,,,,,,,
333MBFT,,Munch Baby Food Tray,,,,,,EA,New Zealand,,,,1.00,,$15.63,$17.97,-
333MB,,Munch Baggie Assorted,,,,,,EA,New Zealand,,,,1.00,,$9.31,$10.71,
333MFS,,Munch eco hero Feeding Set,,,,,,EA,New Zealand,,,,1.00,,$25.75,$29.61,
333MP30M,,Munch Package Medium x 30 stand included,,,,,,EA,New Zealand,,,,1.00,,$465.75,$535.61,+
333MP30S,,Munch Package Small x 30 -stand included,,,,,,EA,New Zealand,,,,1.00,,$297.75,$342.41,+
333MSD3,,Munch Squish Delish 3 pack,,,,,,EA,New Zealand,,,,1.00,,$6.80,$7.82,-
333MSD5,,Munch Squish Delish 5 pack,,,,,,EA,New Zealand,,,,1.00,,$9.31,$10.71,
333MW,,Munch Wrap Assorted,,,,,,EA,New Zealand,,,,1.00,,$9.31,$10.71,
333MSTAND,,Munch Wrap/ Baggie  Display Stand,,,,,,EA,New Zealand,,,,1.00,,$25.00,$28.75,
333MNILSTAND,,Nil Waxwraps  Display Stand,,,,,,EA,New Zealand,,,,1.00,,$37.00,$42.55,
333MN3,,Nil Waxwraps - 3 pack,,,,,,EA,New Zealand,,,,1.00,,$18.01,$20.71,
333MNL,,Nil Waxwraps - Large,,,,,,EA,New Zealand,,,,1.00,,$16.77,$19.29,
333MNM,,Nil Waxwraps - Medium,,,,,,EA,New Zealand,,,,1.00,,$14.90,$17.14,
333MNS,,Nil Waxwraps - Small,,,,,,EA,New Zealand,,,,1.00,,$9.31,$10.71,
333MNILBOARD,,Nil Waxwraps Board,,,,,,EA,New Zealand,,,,1.00,,$15.00,$17.25,
Retail Organic,,,,,,,,,,,,,,,,,
Baking,,,,,,,,,,,,,,,,,
304CK1,,Carob Kibble Nibbles  1 Kg,,,,,,EA,Australia,,ACO,,12.00,,$22.05,$25.36,
304CP1,,Carob Powder - Raw 1 kg Aus,,,,,,EA,Australia,,ACO,,1.00,,$18.00,$20.70,
304CPS05,,Carob Powder 350g,,,,,,EA,SPAIN,,AQ,,12.00,,$4.30,$4.95,
304CPS1,,Carob Powder 900g,,,,,,EA,SPAIN,,AQ,,12.00,,$8.80,$10.12,
304CK2,,Chantal Carob Kibble Nibbles  200g,,,,,,EA,Australia,,AQ,,12.00,,$0.00,$0.00,
304CP2,,Chantal Raw Carob Powder - 200g,,,,,,EA,Australia,,AQ,,12.00,,$0.00,$0.00,
305CP1,,Cocoa Powder Alkalized 1kg,,,,,,EA,Various,,AQ,,12.00,,$19.15,$22.02,
035CM,,Crumbing Mix per kg,,,,,,KG,New Zealand,,BG,,1.00,,$0.00,$0.00,
Beverage RTD,,,,,,,,,,,,,,,,,
160AD1,,Pureharvest Almond Milk 1 litre,,,,,,EA,Australia,,ACO,,12.00,,$7.50,$8.63,
145CQ1,,Pureharvest Coco Quench 1lt,,,,,,EA,Australia,,ACO,,12.00,,$4.45,$5.12,
160OT1,,Pureharvest Oat Milk 1litre,,,,,,EA,Australia,,ACO,,12.00,,$3.08,$3.54,
150RE1,,Pureharvest Rice Milk 1L,,,,,,EA,Australia,,ACO,,12.00,,$3.08,$3.54,
150CE1,,Pureharvest Rice Milk Calcium Enrich 1L,,,,,,EA,Australia,,ACO,,12.00,,$3.08,$3.54,
140CE1,,Pureharvest Soy Milk Calcium Enriched 1L,,,,,,EA,Australia,,ACO,,12.00,,$3.08,$3.54,
140MF1,,Pureharvest Soy Milk Malt Free 1litre,,,,,,EA,Australia,,ACO,,12.00,,$3.08,$3.54,
140OL1,,Pureharvest Soy Milk Original 1litre,,,,,,EA,Australia,,ACO,,12.00,,$3.08,$3.54,
Canned goods,,,,,,,,,,,,,,,,,
244BB04,,Chantal Baked Beans 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.75,$2.01,
245BPS350,,Chantal Basil Pasta Sauce 350g,,,,,,EA,Italy,,Bio-Agricert,,6.00,,$2.35,$2.70,
244BLB04,,Chantal Black Beans 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
244BOB04,,Chantal Borlotti Beans 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
244BUB04,,Chantal Butter Beans 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
244CB04,,Chantal Cannellini Beans 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
244CP04,,Chantal Chickpeas 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
244LT04,,Chantal Lentils 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
244MB04,,Chantal Mixed Beans 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
244CHB400,,Chantal Organic Chilli Beans 400g,,,,,,EA,Italy,,Eco-Cert,,12.00,,$1.96,$2.25,
244AD400,,Chantal Organics Adzuki Beans 400,,,,,,EA,Italy,,Bio-Agricert,,12.00,,$1.46,$1.68,
246SP400,,Chantal Organics Spaghetti in Sauce,,,,,,EA,Italy,,Bio-Agricert,,12.00,,$1.80,$2.07,
245ST680,,Chantal Passata (Strained Tomatoes) 680g,,,,,,EA,Italy,,Bio-Agricert,,12.00,,$2.10,$2.42,
245PPS400,,Chantal Pizza Pasta Sauce 400g,,,,,,EA,Italy,,Bio-Agricert,,12.00,,$2.20,$2.53,
244RK04,,Chantal Red Kidney Beans 400g,,,,,,EA,Italy,,EcoGruppo Italia,,12.00,,$1.40,$1.61,
245TP02,,Chantal Tomato Paste 200g,,,,,,EA,Italy,,Bio-Agricert,,6.00,,$1.85,$2.13,
245TC400,,Chantal Tomatoes Chopped 400g,,,,,,EA,Italy,,Bio-Agricert,,12.00,,$1.30,$1.50,
245TWP400,,Chantal Tomatoes Whole Peeled 400g,,,,,,EA,Italy,,Bio-Agricert,,12.00,,$1.30,$1.50,
Cereal / Breakfast,,,,,,,,,,,,,,,,,
210GB750,,Grainola Base Just Add 750g,,,,,,EA,Various,,AQ,,12.00,,$4.99,$5.74,
035OJ1,,Jumbo Oats 1kg,,,,,,EA,Australia,,AQ,,12.00,,$4.50,$5.18,
035OB650,,Oat Bran 650gm,,,,,,EA,Australia,,AQ,,12.00,,$4.15,$4.77,
035OQO1,,Quick Rolled Oats 1kg,,,,,,EA,Australia,,AQ,,12.00,,$4.50,$5.18,
Coffee Tea,,,,,,,,,,,,,,,,,
